node,name,type,miu,s,K,lambda0,L0,pm
1,TAS 1(1)*,M/M/1/K,900,1,1000,345,0,"[0.00,0.75,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]"
2,TAS 2(1)+,M/M/1/K,700,1,1000,0,0,"[0.00,0.00,0.00,0.20,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00]"
3,TAS 3(1)++,M/M/1/K,700,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.20,0.00,0.00,0.00,0.00]"
4,MAS 1,M/M/1/K,180,1,1000,0,0,"[0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00]"
5,MAS 2,M/M/1/K,530,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00]"
6,MAS 3->4,M/M/1/K,880,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.92,0.00,0.00,0.00]"
7,AS 1,M/M/1/K,700,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.89,0.00]"
8,AS 2,M/M/1/K,410,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.96,0.00]"
9,AS 3->4,M/M/1/K,210,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.90,0.00]"
10,TAS 4(1)+,M/M/1/K,700,1,1000,0,0,"[0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00]"
11,DS 3->1,M/M/1/K,250,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.99]"
12,TAS 5(1)++,M/M/1/K,700,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]"
13,TAS 6(1)*+,M/M/1/K,700,1,1000,0,0,"[0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]"
