node,delta_lambda,delta_mu,delta_rho,delta_L,delta_Lq,delta_W,delta_Wq,name,type
1,-0.002464734632745083,-0.0015005612710152776,-0.0009665812572280452,-0.0034464389534070955,-0.007420214196754781,-0.0009886071387955702,-0.004974511125426323,TAS 1 (1)*,M/M/s/K
2,-0.004942073009327403,-0.00020091935317806598,-0.004746333865006919,-0.005658058806298627,-0.007219283554998861,-0.0007030171013083574,-0.002265002264776171,TAS 2 (1)*+,M/M/s/K
3,0.007511477357280846,-0.0015923805592704373,0.009119002261908898,0.012416210814432602,0.022513730364198185,0.004855252308835262,0.014880704047021793,TAS 3 (1)*+,M/M/s/K
4,-0.3981331431905102,0.0007483124143806709,-0.39858479837962973,-0.5872178574806682,-0.7505862038736001,-0.31414291360630586,-0.5856086571500976,MAS 1,M/M/s/K
5,0.20425339986066343,-0.0009401349140750641,0.20539514746765591,0.2550534047040999,0.49014769855131607,0.042184995408024686,0.23740510808754248,MAS 2,M/M/s/K
6,0.08678585908600008,4.864548963572491,-0.8146865464811851,-0.9289825181778392,-0.9861878839729851,-0.9346515172564303,-0.9872901725878791,MAS 3->4,M/M/s/K
7,0.22054170578213553,-0.00021715299878431865,0.22084873843792538,0.2472408945688263,0.507554559447899,0.021857707771789595,0.2351495360305527,AS 1,M/M/s/K
8,0.22017017141718168,0.005580858213156673,0.21339934974204644,0.2632577224328272,0.5591134899529823,0.03529801328301578,0.2777230067361156,AS 2,M/M/s/K
9,-0.4392988369054539,-0.8666528626187621,3.204876390620687,3.9427384961507492,19.995281096514283,7.81489047328463,36.43923295008143,AS 3->4,M/M/s/K
10,0.007863779512723983,-0.0006444480801819484,0.008521962347364473,0.011471768605295423,0.016585147891017747,0.0035742132481074674,0.008648884644971771,TAS 4 (1)*,M/M/s/K
11,-0.04116392977537454,-0.5462874646127772,1.1133019707067782,3.232647259394638,7.676830221351612,3.4141755318856406,8.048881618087055,DS 3->1,M/M/s/K
12,0.0177247433778599,0.002457442192073225,0.015237304925814547,0.021109278024581676,0.03937880058878898,0.0033040568929637542,0.021236569269741098,TAS 5 (1)*,M/M/s/K
13,-0.000805798234269953,-0.0013835259730751379,0.0005830462186220328,0.0001979470026498204,-0.0010150854639965107,0.0009927896747490557,-0.00024197637584264797,TAS 6 (1)*,M/M/s/K
